experiment_id,crossover_operator,selection_factor,branching_factor,mutation_factor,mutation_potency,maximum_epochs,minimum_profit,maximum_profit,average_profit,num_states_generated,running_time
79,ac,35,12,1.0,0.4,1000,-1.0992789505056863e-136,-1.0682621792090226e-137,-3.425224148219674e-137,8282400,104.05025703907013
80,ac,85,2,1.0,0.4,100,-2.066500018320698e-05,-7.486657603975263e-06,-1.5287354561731203e-05,1999200,17.831582283973695
81,ac,85,2,1.0,0.4,200,-1.5680038840256013e-18,-4.581918221387844e-19,-1.0015730280526247e-18,2713200,29.793789267539978
82,ac,85,2,1.0,0.4,300,-8.507411105567475e-32,-2.642339429655914e-32,-6.223955294828121e-32,3427200,41.64308726787567
83,ac,85,2,1.0,0.4,400,-6.140014441290445e-45,-1.7562396676520906e-45,-3.937619529385817e-45,4141200,53.54010355472565
84,ac,85,2,1.0,0.4,500,-4.046656343588279e-58,-1.0143259481785517e-58,-2.4474212379225675e-58,4855200,65.7654239654541
85,ac,85,2,1.0,0.4,600,-2.8074610152661948e-71,-7.083968290393955e-72,-1.5785391988451304e-71,5569200,77.93574261665344
86,ac,85,2,1.0,0.4,700,-1.719172134010499e-84,-4.217892262545547e-85,-9.900364521488985e-85,6283200,90.09011003971099
87,ac,85,2,1.0,0.4,800,-9.784949635331627e-98,-2.6556320081119732e-98,-6.139624358139086e-98,6997200,102.4546855211258
88,ac,85,2,1.0,0.4,900,-6.555981605212427e-111,-1.6848193951195695e-111,-4.038849429595215e-111,7711200,114.8036740064621
89,ac,85,2,1.0,0.4,1000,-4.7611981606128515e-124,-1.070800758834774e-124,-2.6658034024633858e-124,8425200,127.11164040565491
90,ac,15,68,1.0,0.8,100,-6.38901313500538e-32,-1.2454276002320792e-33,-1.5353363880782406e-32,2142000,15.653968501091004
91,ac,15,68,1.0,0.8,200,-6.757133706012412e-72,-1.6120156581668516e-73,-1.3607604342255688e-72,2856000,25.001253151893614
92,ac,15,68,1.0,0.8,300,-3.2151749792113667e-112,-1.1369099309614127e-113,-8.926754541426732e-113,3570000,34.29713976383209
93,ac,15,68,1.0,0.8,400,-2.408988651556384e-152,-9.41276624205465e-154,-7.310068340382887e-153,4284000,43.786689567565915
94,ac,15,68,1.0,0.8,500,-2.0446785433267104e-192,-5.109566878807443e-194,-5.321777655328109e-193,4998000,53.01715075969696
95,ac,15,68,1.0,0.8,600,-1.8456004599149928e-232,-4.9374142901588975e-234,-4.406570786312706e-233,5712000,62.279827165603635
96,ac,15,68,1.0,0.8,700,-8.691392102521764e-273,-3.6074327360783193e-274,-2.823614973404531e-273,6426000,71.47876603603363
97,ac,15,68,1.0,0.8,800,-7.4515616862e-313,-1.872363708e-314,-2.0301015863e-313,7140000,80.82712359428406
98,ac,15,68,1.0,0.8,900,0.0,0.0,0.0,7854000,90.46543550491333
99,ac,15,68,1.0,0.8,1000,0.0,0.0,0.0,8568000,99.5654109954834
100,ac,35,12,1.0,0.8,100,-2.339579364820883e-29,-1.4996445907450513e-30,-6.48371149063705e-30,2284800,16.335385417938234
101,ac,35,12,1.0,0.8,200,-6.95147436091211e-66,-2.7366086026068336e-67,-1.4332607155913697e-66,2998800,26.778395962715148
